id,sex,gender,age,weight,wght18,height,phys,aspirin,vitc,vite,multivit,calcium,blood,chol,health,smoke100,sm100age,cursmoke,wtchange,exhrs,exintens,degree,program,mstatus,mage,agepub,minschool,travel,techhrs,wkdaysleep,wkendsleep,bmicat
35,2,2,23,120,150,70,1,1,1,1,1,1,1,1,4,No,,3,3,2,3,4,2,2,,22,6,1,5,8,9,1
89,2,2,22,114,123,68,1,1,2,1,2,1,1,1,4,No,,3,2,3,3,4,2,2,,27,15,3,10,7,9,1
75,2,2,21,127,143,64,1,1,1,1,2,2,1,1,5,No,,3,2,2,3,4,2,2,,18,5,1,13,7,9,1
108,2,2,23,129,132,66,1,,,,2,,,,5,No,,3,1,2,2,1,2,2,,18,30,3,9,7,8,1
102,2,2,22,142,125,63,1,1,1,1,1,1,1,1,5,No,,3,1,4,3,4,6,2,,20,20,3,8,7,8,2
295,2,2,26,130,110,66,2,,,,2,,,,1,No,,3,2,2,3,4,2,2,,19,25,3,4,7,8,1
194,2,2,21,115,105,66,1,1,1,1,1,1,1,1,5,No,,2,2,2,2,4,4,2,,21,40,3,10,9,9,1
28,1,1,25,140,180,71,1,1,1,1,1,1,2,1,3,No,,3,1,2,2,4,1,2,,6,15,2,50,7,8,1
106,1,1,25,125,115,67,1,1,1,1,1,1,1,1,3,No,,3,3,3,3,4,2,2,,19,27,2,12,7,7,1
196,2,2,29,132,115,62,2,,,,2,,,,5,No,,2,2,3,4,4,2,2,,27,15,2,10,7,11,1
256,2,2,22,138,151.8,67,1,1,1,1,2,1,1,1,1,No,,3,2,4,3,4,6,2,,20,20,3,13,7,8,1
29,1,1,22,150,140,72,3,1,1,1,1,1,1,1,3,No,,3,3,4,4,5,4,2,,22,30,3,5,7,9,1
48,2,1,29,105,99,60,4,1,1,1,2,1,1,1,3,Yes,24,2,1,2,3,1,3,2,,28,15,2,12,6,10,1
182,1,1,28,162,1251,66,4,2,1,1,1,1,1,1,3,Yes,23,3,2,1,1,1,2,2,,26,15,1,6,6,8,2
93,2,2,22,150,140,66,1,1,1,1,2,1,1,1,3,Yes,21,3,2,3,3,5,4,2,,20,30,3,4,7,8,1
123,2,2,37,145,135,66,1,2,2,1,2,1,1,1,5,No,,3,2,2,3,2,3,2,,33,35,3,8,7,8,1
248,2,2,34,128,120,67,2,1,1,1,1,1,1,1,3,No,,3,1,1,2,2,2,1,25,33,30,2,10,7,8,1
30,2,2,34,216,150,67,3,1,1,1,1,1,1,1,5,No,,3,2,1,2,2,3,1,27,15,75,2,6,6,8,3
253,1,1,45,160,143,68,1,,,,2,,,,1,No,,3,2,2,3,2,3,1,29,26,45,2,7,8,8,1
117,2,2,31,160,190,66,3,1,1,1,2,1,1,1,5,No,,3,2,3,3,2,2,1,25,31,17,2,12,7,9,2
191,2,2,30,200,180,68,2,1,1,1,1,1,1,1,5,No,,3,2,2,3,2,3,1,30,28,70,2,5,6,8,3
12,1,1,31,205,116,66,1,1,1,1,1,1,1,1,1,No,,3,1,1,3,2,5,1,29,17,15,3,14,8,8,3
78,2,2,35,168,135,68,1,1,1,1,2,1,1,1,3,No,,3,1,2,2,2,2,1,32,30,45,2,4,7,8,2
275,1,1,33,198,140,68,2,1,1,1,1,1,1,1,5,No,,3,2,3,3,2,3,1,27,27,180,3,15,5,6,3
133,2,2,27,145,130,69,1,1,1,1,1,1,1,1,5,No,,3,1,2,3,2,3,1,25,26,20,2,8,7,8,1
25,1,1,33,283,200,76,1,1,1,1,1,1,1,1,2,No,,3,2,2,2,2,3,2,,30,10,2,5,7,7,3
47,2,2,28,140,150,66,2,,,,2,,,,1,No,,3,2,3,3,5,3,2,,25,10,1,4,8,8,1
261,1,1,33,144,120,68,3,1,1,1,1,1,1,1,1,No,,3,1,2,3,5,7,2,,32,18,2,6,8,8,1
369,2,2,21,105,110,66,1,1,1,1,1,1,1,1,5,No,,3,1,4,3,5,7,2,,16,30,3,8,8,10,1
